operator,cluster,tier,movement_wager_mean,movement_win_mean,stake_mean
OP_0001,1,high,4502215.9812030075,2798122.77443609,1744816.932330827
OP_0002,1,high,46551987.639053255,32376677.70230769,24061588.946745563
OP_0003,1,high,1959478.5,1756551.100820513,1054810.6747982546
OP_0004,1,high,66167507.98811225,59533755.13119048,6330715.652091837
OP_0005,1,high,177103145.70047617,170441275.56736058,22840869.573386244
OP_0006,1,high,19497557612.905495,15065475175.266901,5004564784.33152
OP_0007,1,high,6065327833.444777,5716165088.80597,193064466.21492538
OP_0009,0,low,0.0,0.0,243449.84984984985
OP_0010,1,high,100405617.16984732,65375456.03450382,8007154.969160305
OP_0011,1,high,990568407.5340647,918823427.0628778,265169090.7784892
OP_0012,0,low,0.0,0.0,99003.60782935943
OP_0013,1,high,15737712.113603238,13414542.765991904,124127.58514170042
OP_0015,1,high,6509788.226720648,5187997.720647774,719505.8160095951
OP_0016,1,high,69195165.94468085,49976849.391489364,24489556.038297873
OP_0017,0,low,0.0,0.0,1136871653.5447762
OP_0020,1,high,112744016.4537037,85891052.2037037,9181459.657407407
OP_0022,1,high,13962362.252515336,9517746.954846626,488033.3794420825
OP_0023,1,high,283922240.97315437,256460660.04026845,14146887.134228189
OP_0024,1,high,58474711.40634615,46976299.32326923,12301381.979807692
OP_0025,1,high,4308048.571428572,3693016.102040816,181190.71353790406
OP_0028,1,high,589373.9915966387,438921.6218487395,136155.50420168068
