operator,n_test_samples,r2_score,performance_category
OP_0006,77,0.9017369056997244,Good (0.85-0.95)
OP_0011,40,0.8655896336397825,Good (0.85-0.95)
OP_0005,78,0.7713517229627624,Fair (0.7-0.85)
OP_0007,58,0.6579061459550821,Poor (<0.7)
OP_0002,61,0.6461551427087843,Poor (<0.7)
OP_0004,132,0.6369311136952318,Poor (<0.7)
OP_0017,28,0.5575722199933402,Poor (<0.7)
OP_0010,37,0.5341216184782217,Poor (<0.7)
OP_0020,51,0.25458505797683706,Poor (<0.7)
OP_0016,48,0.03956988026170405,Poor (<0.7)
OP_0001,53,-0.053433207502814994,Poor (<0.7)
OP_0024,30,-0.39026623875700883,Poor (<0.7)
OP_0023,32,-0.4096864177346333,Poor (<0.7)
OP_0003,76,-13.79566934709043,Poor (<0.7)
OP_0022,32,-18.388667555722158,Poor (<0.7)
OP_0009,79,-40.180062760402514,Poor (<0.7)
OP_0013,44,-45.57866691426185,Poor (<0.7)
OP_0025,23,-144.78355769820706,Poor (<0.7)
OP_0028,18,-258.65548226116397,Poor (<0.7)
OP_0015,57,-271.518313091073,Poor (<0.7)
OP_0012,39,-6669.786510038551,Poor (<0.7)
