operator,n_test_samples,r2_score,rmse,mae,mean_actual_stake,mean_predicted_stake
OP_0006,77,0.9017369056997244,914966145.2690536,596283842.3986045,5222940186.33,5257107254.681766
OP_0011,40,0.8655896336397825,53277876.15982254,39116818.78739031,283965461.29899997,267135939.2704813
OP_0005,78,0.7713517229627624,15555349.21851975,7925902.348347618,15254974.053589748,21056986.244992163
OP_0007,58,0.6579061459550821,43427935.59733396,33163694.79099485,206541129.5172414,197735939.18209237
OP_0002,61,0.6461551427087843,5167221.153818393,4102229.4316802714,23796469.147540983,19862719.986107543
OP_0004,132,0.6369311136952318,3819152.4801858263,3206900.8772127926,6410558.034242424,5918431.414374755
OP_0017,28,0.5575722199933402,180620242.65294668,147448824.60093483,1073525565.1785715,1141795108.3230958
OP_0010,37,0.5341216184782217,7215063.1570275035,4603143.133139534,7302365.144864864,5734769.848260918
OP_0020,51,0.25458505797683706,3897558.954999102,2673886.9001317825,9818758.784313725,8486502.894002816
OP_0016,48,0.03956988026170405,12730373.835572653,10063708.361468026,23991324.5625,34055032.923968025
OP_0001,53,-0.053433207502814994,2512853.0683796797,2315133.892131071,2356532.245283019,2922470.714072829
OP_0024,30,-0.39026623875700883,5534495.688023329,4185068.8364339867,11314213.059999999,7185415.390580379
OP_0023,32,-0.4096864177346333,10844900.230908189,8760310.09611026,15630253.59375,7473685.551157949
OP_0003,76,-13.79566934709043,4514951.946948833,4271795.379455954,1016070.365426471,5213190.063494891
OP_0022,32,-18.388667555722158,3134749.475348211,3051077.0492102527,421797.65937173413,3472874.708581987
OP_0009,79,-40.180062760402514,2721704.5961340824,2706888.759298191,263389.87341772154,2970278.632715913
OP_0013,44,-45.57866691426185,3007373.3631748604,2942050.3088354557,123505.03772727273,3065555.3465627283
OP_0025,23,-144.78355769820706,2780942.6998155396,2771388.371026226,151082.3430466041,2922470.71407283
OP_0028,18,-258.65548226116397,4007839.089730467,4000114.0355394953,181501.44444444444,4181615.47998394
OP_0015,57,-271.518313091073,4467639.375983182,4361457.130034336,704099.971173561,5065557.101207897
OP_0012,39,-6669.786510038551,3195296.4308451624,3159161.0846363204,89379.44485107985,3248540.5294874
