operator,n_test_samples,accuracy,mae_bins,within_1_bin,spearman_corr,performance_category
OP_0006,66,1.0,0.0,1.0,,Excellent (>70%)
OP_0017,28,1.0,0.0,1.0,,Excellent (>70%)
OP_0016,48,0.9791666666666666,0.020833333333333332,1.0,0.9534625892455921,Excellent (>70%)
OP_0012,55,0.9636363636363636,0.03636363636363636,1.0,0.946767684080444,Excellent (>70%)
OP_0002,72,0.9305555555555556,0.06944444444444445,1.0,0.722484961763912,Excellent (>70%)
OP_0007,73,0.8904109589041096,0.1095890410958904,1.0,0.7626025621122736,Excellent (>70%)
OP_0011,45,0.8888888888888888,0.1111111111111111,1.0,0.5531339807804642,Excellent (>70%)
OP_0005,71,0.8873239436619719,0.11267605633802817,1.0,0.9352389500654672,Excellent (>70%)
OP_0013,53,0.8867924528301887,0.1320754716981132,0.9811320754716981,0.37719921205792295,Excellent (>70%)
OP_0004,127,0.8503937007874016,0.14960629921259844,1.0,0.9471409719870489,Excellent (>70%)
OP_0023,28,0.8214285714285714,0.17857142857142858,1.0,0.680952380952381,Excellent (>70%)
OP_0009,69,0.8115942028985508,0.18840579710144928,1.0,0.7584330500196435,Excellent (>70%)
OP_0020,36,0.8055555555555556,0.19444444444444445,1.0,0.2623478496081896,Excellent (>70%)
OP_0010,25,0.8,0.2,1.0,0.9221937288461671,Excellent (>70%)
OP_0024,33,0.7878787878787878,0.21212121212121213,1.0,0.6246575416458008,Excellent (>70%)
OP_0003,84,0.7857142857142857,0.2261904761904762,0.9880952380952381,0.7259177909072347,Excellent (>70%)
OP_0028,22,0.7727272727272727,0.22727272727272727,1.0,0.7510336841073372,Excellent (>70%)
OP_0025,35,0.7714285714285715,0.2571428571428571,0.9714285714285714,0.49785857026231967,Excellent (>70%)
OP_0015,53,0.7547169811320755,0.24528301886792453,1.0,0.304297124661314,Excellent (>70%)
OP_0022,23,0.6521739130434783,0.391304347826087,0.9565217391304348,0.6280639184941974,Good (50-70%)
OP_0001,47,0.6170212765957447,0.425531914893617,0.9574468085106383,0.591927842855679,Good (50-70%)
