tier,feature_set,n_features,train_r2,test_r2,test_mae,test_rmse,test_mape
Top Tier,baseline,1,0.20135960893209448,0.5033152196549752,1526645166.9772997,2337706284.643543,21.58825137793386
Top Tier,ar_only,2,0.43821208326444205,0.0941497718172829,2219225361.194075,3157022791.843525,38.096737014639395
Top Tier,stake_bets,2,0.23280318299620106,0.6592562946374971,1332287064.9117966,1936258953.939024,21.968312792693695
Top Tier,stake_won,2,0.22248775944184018,0.6836797507121579,1241355455.366257,1865576297.5769134,18.65068338103589
Top Tier,ar_stake,4,0.5251418222573843,0.46441982317341235,1763282866.4322264,2427514123.620246,33.51724376392223
Top Tier,ar_stake_won,4,0.5406270216883524,0.5994153873673311,1537168159.5472705,2099407042.6135082,30.226063519037428
Top Tier,full,16,0.6694755539767435,0.7845641533264243,1157067881.749951,1539602126.0524223,22.74945687187612
Large+,baseline,1,0.8706295438906966,0.6644169772175259,55146887.381425746,75916864.6766438,16.63203027207193
Large+,ar_only,2,0.27497948925352234,-0.04402916189243977,103128263.51268408,133904319.77033113,26.66865570399395
Large+,stake_bets,2,0.8853542724737097,0.5861509361138472,65459102.29248942,84306150.88465385,19.237842692763284
Large+,stake_won,2,0.8706302721969783,0.6640029964143248,55202846.12926078,75963676.3981729,16.64954095100073
Large+,ar_stake,4,0.8902902622866629,0.5675222535859863,67478535.3540606,86182711.82924144,20.012046058618154
Large+,ar_stake_won,4,0.8788591279541769,0.6461243339119205,57366334.60009817,77958526.65606274,17.522686612758957
Large+,full,16,0.9081353421343767,0.6026778588107891,61859672.36782774,82605631.65956742,18.771432018576288
Large,baseline,1,0.8581527860726743,0.8926529821550973,20926901.26098148,33687510.58565822,20.509656263994014
Large,ar_only,2,0.48756966304513505,0.821566527047511,30570498.526047226,43432226.272591986,46.57551684150631
Large,stake_bets,2,0.86812780477847,0.8331369529202626,25624912.85204021,42000456.61886639,23.73368289790841
Large,stake_won,2,0.8680156756872497,0.9811369370104943,9288034.868499586,14121474.121245364,14.152003810464972
Large,ar_stake,4,0.8697669626358328,0.8134343256660076,27006145.8564439,44410922.87806198,24.49646706794437
Large,ar_stake_won,4,0.876337650877388,0.981413410392624,9449101.815334667,14017603.837827303,15.685128894241307
Large,full,16,0.938620652726567,0.9798213406236845,10794180.24375429,14605622.838803703,15.418955054849178
Medium+,baseline,1,0.975580467903558,0.970107359600292,11268601.138196124,14520832.947830606,27.469442282139468
Medium+,ar_only,2,0.8107348949461721,-3.7874754228531513,95912756.7843537,183764945.05677223,358.695502337862
Medium+,stake_bets,2,0.9758417404556269,0.9622078014853976,12814263.983363649,16327153.242035115,33.096738711234615
Medium+,stake_won,2,0.9758697532007155,0.96271724828072,12672509.642743822,16216733.125668056,31.97042473884767
Medium+,ar_stake,4,0.976359956115486,0.9499305918267132,13760805.4932726,18792978.605351012,38.39600727207051
Medium+,ar_stake_won,4,0.9763423270574352,0.9554600881749421,13117170.918767633,17724911.147444498,34.85493193100205
Medium+,full,16,0.9786581122475548,0.696879747565424,23094107.02360279,46239897.989054546,81.74938253112258
Medium,baseline,1,0.35123317362971096,0.8526982095416098,277756.31459700514,432294.00392851705,753.161867034732
Medium,ar_only,2,0.36775805676600204,0.07133953285559946,575076.1798950607,1085434.6415921517,2044.955090837111
Medium,stake_bets,2,0.35369675816342905,0.8623211878976159,268003.027635871,417935.0108821033,575.730981381699
Medium,stake_won,2,0.37447111490944796,0.8352197995989483,345715.9091726474,457222.6245234622,46.88689516187566
Medium,ar_stake,4,0.48854433634444583,0.6623598232167992,337312.01343746606,654488.8592782195,642.005705246759
Medium,ar_stake_won,4,0.5043567465074351,0.6735907204973466,365150.7967030024,643511.6998094999,217.92753427824
Medium,full,16,0.585364665234944,0.8883418840975666,249829.78975865306,376374.6343263851,607.0458836179687
