operator,total_records,anomalies_detected,anomaly_rate,avg_anomaly_score,avg_deviation_pct,avg_payout_zscore,high_deviation_anomalies,high_zscore_anomalies,risk_level
OP_0017,134,14,0.1044776119402985,-0.6111131744848347,0.07143135264607546,0.8405746946135266,1,9,MEDIUM
OP_0022,163,17,0.10429447852760736,-0.6096660746437051,0.36802023829978125,2.4698484839113632,6,8,MEDIUM
OP_0024,156,16,0.10256410256410256,-0.5968854217127543,0.47834887872693,1.5234517041290343,4,5,MEDIUM
OP_0006,342,35,0.1023391812865497,-0.56202462629037,0.30590155894116133,2.142263790541817,4,23,MEDIUM
OP_0016,235,24,0.10212765957446808,-0.5749606440752758,1.4176876841365807e-15,3.080971130417971,0,13,HIGH
OP_0009,333,34,0.1021021021021021,-0.6304798593270069,0.2486196459902149,5.609065843978387,1,18,HIGH
OP_0025,147,15,0.10204081632653061,-0.6238543754757665,0.3208592072718052,7.30124425780069,4,7,HIGH
OP_0020,216,22,0.10185185185185185,-0.5845805232894574,0.01701692595206883,2.8920926835829195,0,15,MEDIUM
OP_0001,266,27,0.10150375939849623,-0.5881129578865882,0.7598645853988025,2.485384710103155,14,16,MEDIUM
OP_0007,335,34,0.10149253731343283,-0.5624956589364908,0.7756079954516211,1.0306190364135028,4,11,MEDIUM
OP_0015,247,25,0.10121457489878542,-0.594131124324086,0.20041772799780788,2.4946495497283343,6,15,MEDIUM
OP_0013,247,25,0.10121457489878542,-0.5473038561497028,0.3003530959525451,9.076147182454303,7,9,HIGH
OP_0028,119,12,0.10084033613445378,-0.6314162577961028,0.428048326489971,4.732477468143343,6,9,HIGH
OP_0011,278,28,0.10071942446043165,-0.5672917329332059,0.1217632934216706,2.416521637312274,2,19,MEDIUM
OP_0023,149,15,0.10067114093959731,-0.5677263842886595,0.507351597915133,1.4115634787550988,5,7,MEDIUM
OP_0002,338,34,0.10059171597633136,-0.5832710863370518,8.597230814480592e-16,2.211989818982186,0,18,MEDIUM
OP_0005,378,38,0.10052910052910052,-0.651386407680662,0.4730777221947515,27.92819603415549,12,36,HIGH
OP_0012,269,27,0.10037174721189591,-0.5924008066991792,0.3061901411888118,9.471848938526607,9,19,HIGH
OP_0004,588,59,0.10034013605442177,-0.5775290942510893,0.9132604556149347,0.6840460645518037,20,17,MEDIUM
OP_0003,390,39,0.1,-0.5716874162106105,1.1749463707929328,3.937777625361563,13,22,HIGH
OP_0010,131,13,0.09923664122137404,-0.6141389332632088,0.18029151717478464,2.68908185575168,1,6,MEDIUM
