operator,tier,r2_score,has_regression,has_isolation_forest
OP_0028,noise,1.0,True,True
OP_0005,noise,1.0,True,True
OP_0024,noise,1.0,True,True
OP_0007,noise,1.0,True,True
OP_0009,zero,1.0,True,True
OP_0023,noise,1.0,True,True
OP_0011,noise,1.0,True,True
OP_0002,low,1.0,True,True
OP_0013,noise,1.0,True,True
OP_0016,low,1.0,True,True
OP_0017,zero,1.0,True,True
OP_0020,mid,0.999999999999974,True,True
OP_0022,noise,0.9999999998973431,True,True
OP_0025,noise,0.9999994702234222,True,True
OP_0003,noise,0.9999851678997542,True,True
OP_0001,noise,0.9999842940039617,True,True
OP_0010,mid,0.9957862393409151,True,True
OP_0015,noise,0.9924110287781053,True,True
OP_0004,noise,0.8984882753411237,True,True
OP_0006,noise,0.8698180437663707,True,True
OP_0012,zero,0.42240385473489417,True,True
